"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012","REPORTING_CYCLE","TN_NNC","TP_NNC","DO_Conc"
"62","Z3-SS-14001","FLSS20001-301",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",301346.0719,813633.89931,3080103,"LOWER ST. JOHNS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","STREAM/RIVER ARTIFICIALLY ALTERED WITH LOSS OF SINUOSITY AND BOX CUT BANKS (NOT A PRIMARY CANAL).",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"63","Z3-SS-14002","FLSS20001-302",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",293701.96361,815116.60521,3080102,"OKLAWAHA","Y",NA,NA,2020-07-30,NA,"O","HPGN","Z3SS2007",57864,293701.829,815116.848,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"64","Z3-SS-14003","FLSS20001-303",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",295634.73126,815602.67536,3080103,"LOWER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"65","Z3-SS-14004","FLSS20001-304",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",291046.21465,813306.24752,3080101,"UPPER ST. JOHNS","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"66","Z3-SS-14005","FLSS20001-305",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",302820.44008,814113.03976,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-08-26,NA,"O","HPGN","Z3SS2007",57870,302820.474,814112.927,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"67","Z3-SS-14006","FLSS20001-306",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",291648.37065,811049.42655,3080201,"DAYTONA-ST. AUGUSTINE","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","STREAM/RIVER ARTIFICIALLY ALTERED WITH LOSS OF SINUOSITY AND BOX CUT BANKS (NOT A PRIMARY CANAL).",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"68","Z3-SS-14007","FLSS20001-307",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",295725.31732,814837.09477,3080103,"LOWER ST. JOHNS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"69","Z3-SS-14008","FLSS20001-308",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",283155.55149,810545.43167,3080101,"UPPER ST. JOHNS","N","DRY","DRY DURING INDEX PERIOD, INCLUDES SMALL LAKE WATER < 4 HECTARES LARGE LAKE WATER < 10 HECTARES",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"70","Z3-SS-14009","FLSS20001-309",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",303201.69003,815236.4642,3070205,"NASSAU","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"71","Z3-SS-14010","FLSS20001-310",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",294614.41301,812919.10341,3080103,"LOWER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"72","Z3-SS-14011","FLSS20001-311",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",303005.58022,821329.30684,3070204,"ST. MARYS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"73","Z3-SS-14012","FLSS20001-312",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",280008.85409,805531.15869,3080101,"UPPER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"74","Z3-SS-14013","FLSS20001-313",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",303731.36089,815019.35218,3070205,"NASSAU","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"75","Z3-SS-14014","FLSS20001-314",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",294452.61852,814252.70566,3080103,"LOWER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"76","Z3-SS-14015","FLSS20001-315",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",291347.64093,820231.3729,3080102,"OKLAWAHA","Y",NA,NA,2020-07-30,NA,"O","HPGN","Z3SS2007",57865,291347.23,820231.937,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"77","Z3-SS-14016","FLSS20001-316",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",275125.77879,805043.76024,3080101,"UPPER ST. JOHNS","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"78","Z3-SS-14017","FLSS20001-317",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",301821.78186,814348.8921,3080103,"LOWER ST. JOHNS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","STREAM/RIVER ARTIFICIALLY ALTERED WITH LOSS OF SINUOSITY AND BOX CUT BANKS (NOT A PRIMARY CANAL).",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"79","Z3-SS-14018","FLSS20001-318",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",293354.77621,815145.26945,3080102,"OKLAWAHA","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"80","Z3-SS-14019","FLSS20001-319",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",300823.8667,815516.57567,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-08-26,NA,"O","HPGN","Z3SS2007",57866,300823.956,815516.619,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"81","Z3-SS-14020","FLSS20001-320",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",290412.41334,811624.18394,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-07-29,NA,"O","HPGN","Z3SS2007",57867,290412.567,811624.266,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"82","Z3-SS-14021","FLSS20001-321",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",302011.34587,814835.7532,3080103,"LOWER ST. JOHNS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"83","Z3-SS-14022","FLSS20001-322",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",292347.33707,812459.42005,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-07-27,NA,"O","HPGN","Z3SS2007",57868,292347.258,812459.296,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"84","Z3-SS-14023","FLSS20001-323",294.983790558,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",300059.63206,815150.25004,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-08-06,NA,"O","HPGN","Z3SS2007",57869,300059.877,815150.048,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"85","Z4-SS-14001","FLSS20001-451",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",273122.06549,812320.37903,3090101,"KISSIMMEE","Y",NA,NA,2020-08-27,NA,"O","HPGN","Z4SS2007",57904,273122.042,812320.123,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"86","Z4-SS-14002","FLSS20001-452",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",271602.3333,821950.52023,3100102,"MYAKKA","Y",NA,NA,2020-08-20,NA,"O","HPGN","Z4SS2007",57905,271602.313,821950.356,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"87","Z4-SS-14003","FLSS20001-453",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",265557.76404,814742.61791,3100101,"PEACE","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","DRAINAGE/IRRIGATION DITCH",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"88","Z4-SS-14004","FLSS20001-454",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",274844.32466,821708.8702,3100204,"ALAFIA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"89","Z4-SS-14005","FLSS20001-455",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",285624.14222,821735.50219,3100208,"WITHLACOOCHEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"90","Z4-SS-14006","FLSS20001-456",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",272006.06739,814709.02331,3100101,"PEACE","N","DRY","RANDOM LOCATION LESS THAN 10 CM DEEP",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"91","Z4-SS-14007","FLSS20001-457",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",273921.0963,823146.11539,3100206,"TAMPA BAY","Y",NA,NA,2020-08-20,NA,"O","HPGN","Z4SS2007",57906,273920.992,823145.202,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"92","Z4-SS-14008","FLSS20001-458",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",281548.75326,815803.3484,3100208,"WITHLACOOCHEE","Y",NA,NA,2020-09-03,NA,"O","HPGN","Z4SS2007",57907,281549.656,815804.74,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"93","Z4-SS-14009","FLSS20001-459",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",273241.36337,820902.78553,3100202,"MANATEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"94","Z4-SS-14010","FLSS20001-460",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",272737.73186,814655.66481,3100101,"PEACE","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z4SS2007",NA,NA,NA,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"95","Z4-SS-14011","FLSS20001-461",280.753484683,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 4",273420.71573,822715.37045,3100206,"TAMPA BAY","Y",NA,NA,2020-09-02,NA,"O","HPGN","Z4SS2007",57908,273419.22,822715.614,NA,"WEST CENTRAL","PENINSULA",14,1.65,0.49,38
"96","Z5-SS-14001","FLSS20001-601",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",282322.0776,812151.73958,3090101,"KISSIMMEE","Y",NA,NA,2020-08-17,NA,"O","HPGN","Z5SS2007",57899,282322.156,812151.6,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"97","Z5-SS-14002","FLSS20001-602",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",275633.41955,810925.0559,3090101,"KISSIMMEE","Y",NA,NA,2020-08-06,NA,"A","HPGN","Z5SS2007",57900,275633.493,810926.375,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"98","Z5-SS-14003","FLSS20001-603",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",270740.94633,812529.38376,3090103,"WESTERN OKEECHOBEE INFLOW","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"99","Z5-SS-14004","FLSS20001-604",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",261659.55716,814604.35734,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-08-12,NA,"A","HPGN","Z5SS2007",57901,261659.557,814604.357,NA,"SOUTH","EVERGLADES",14,NA,NA,38
"100","Z5-SS-14005","FLSS20001-605",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",274238.2828,811330.20487,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"101","Z5-SS-14006","FLSS20001-606",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",280515.82524,811434.43882,3090101,"KISSIMMEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"102","Z5-SS-14007","FLSS20001-607",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",270530.05865,811818.82726,3090103,"WESTERN OKEECHOBEE INFLOW","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"103","Z5-SS-14008","FLSS20001-608",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",265148.72813,814515.28132,3090205,"CALOOSAHATCHEE","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WETLANDS",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"104","Z5-SS-14009","FLSS20001-609",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",274223.01394,810821.38164,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"105","Z5-SS-14010","FLSS20001-610",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",272551.13398,805656.9873,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"106","Z5-SS-14011","FLSS20001-611",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",272820.93974,810937.84318,3090101,"KISSIMMEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"107","Z5-SS-14012","FLSS20001-612",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",264524.69269,814100.66337,3090205,"CALOOSAHATCHEE","N","DRY","RANDOM LOCATION LESS THAN 10 CM DEEP",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"108","Z5-SS-14013","FLSS20001-613",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",274638.40285,812404.52329,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"109","Z5-SS-14014","FLSS20001-614",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",272232.36491,810559.97862,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"110","Z5-SS-14015","FLSS20001-615",67.1212566055,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",273251.05006,811324.17165,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"111","Z5-SS-14016","FLSS20001-616",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",264005.09344,814544.06459,3090205,"CALOOSAHATCHEE","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","DRAINAGE/IRRIGATION DITCH",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"112","Z5-SS-14017","FLSS20001-617",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",282130.87865,811656.87437,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"113","Z5-SS-14018","FLSS20001-618",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",275644.14155,811231.16001,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"114","Z5-SS-14019","FLSS20001-619",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",270619.67105,812944.3781,3090103,"WESTERN OKEECHOBEE INFLOW","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"115","Z5-SS-14020","FLSS20001-620",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",264446.19068,820209.23532,3100103,"CHARLOTTE HARBOR","Y",NA,NA,2020-08-13,NA,"O","HPGN","Z5SS2007",57902,264445.994,820209.354,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"116","Z5-SS-14021","FLSS20001-621",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",273733.93643,810843.73053,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"117","Z5-SS-14022","FLSS20001-622",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",280005.79099,811420.40727,3090101,"KISSIMMEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"118","Z5-SS-14023","FLSS20001-623",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",270133.50883,812040.63477,3090103,"WESTERN OKEECHOBEE INFLOW","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"119","Z5-SS-14024","FLSS20001-624",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",264815.66613,813715.98178,3090205,"CALOOSAHATCHEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z5SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"120","Z5-SS-14025","FLSS20001-625",67.1212566055,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 5",274326.91931,810943.0652,3090101,"KISSIMMEE","Y",NA,NA,2020-08-25,NA,"O","HPGN","Z5SS2007",57903,274326.919,810943.065,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"121","Z6-SS-14001","FLSS20001-751",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",254705.1337,801403.85871,3090202,"EVERGLADES","Y",NA,NA,2020-08-06,NA,"O","HPGN","Z6SS2007",57879,254705.177,801404.016,NA,"SOUTH","EVERGLADES",14,NA,NA,38
"122","Z6-SS-14002","FLSS20001-752",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",272357.85841,802526.39076,3090202,"EVERGLADES","Y",NA,NA,2020-08-04,NA,"O","HPGN","Z6SS2007",57880,272357.982,802526.335,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"123","Z6-SS-14003","FLSS20001-753",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",271414.0933,805337.40533,3090102,"NORTHERN OKEECHOBEE INFLOW","Y",NA,NA,2020-08-12,NA,"O","HPGN","Z6SS2007",57881,271413.863,805337.81,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"124","Z6-SS-14004","FLSS20001-754",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",271917.04366,804620.75645,3090101,"KISSIMMEE","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z6SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"125","Z6-SS-14005","FLSS20001-755",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",270502.17951,801700.27967,3090202,"EVERGLADES","Y",NA,NA,2020-08-19,NA,"O","HPGN","Z6SS2007",57882,270502.066,801700.095,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"126","Z6-SS-14006","FLSS20001-756",12.1693967146,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 6",271126.27287,801749.62401,3090202,"EVERGLADES","Y",NA,NA,2020-08-13,NA,"O","HPGN","Z6SS2007",57883,271126.178,801749.376,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
